source,sink
LTBP1,TGFB1
LTBP1,TGFB2
LTBP1,TGFB3
THBS1,LTBP1
CUL1,SMAD2
CUL1,SMAD3
RBX1,SMAD2
RBX1,SMAD3
SMAD4,PITX2
SMAD4,TFDP1
SMAD4,E2F4
SMAD4,E2F5
SMAD4,RBL1
SMAD4,ID1
SMAD4,ID2
SMAD4,ID3
SMAD4,ID4
SMAD4,HAMP
ACVR1C,SMAD2
ACVR1C,SMAD3
ACVR1B,SMAD2
ACVR1B,SMAD3
SMAD2,SMAD4
SMAD2,PITX2
SMAD2,TFDP1
SMAD2,E2F4
SMAD2,E2F5
SMAD2,RBL1
SMAD3,SMAD4
SMAD3,PITX2
SMAD3,TFDP1
SMAD3,E2F4
SMAD3,E2F5
SMAD3,RBL1
NODAL,ACVR2A
NODAL,ACVR2B
SMAD6,SMAD2
SMAD6,SMAD3
SMAD6,SMURF1
SMAD6,SMURF2
SMAD6,SMAD1
SMAD6,SMAD5
SMAD6,SMAD9
SMAD7,SMAD2
SMAD7,SMAD3
SMAD7,SMURF1
SMAD7,SMURF2
SMAD7,SMAD1
SMAD7,SMAD5
SMAD7,SMAD9
SP1,CDKN2B
CREBBP,CDKN2B
EP300,CDKN2B
MYC,CDKN2B
TFDP1,MYC
E2F4,MYC
E2F5,MYC
RBL1,MYC
ACVR1,ACVR2A
ACVR1,SMAD2
ACVR1,SMAD3
ACVR1,BMPR2
ACVR1,SMAD1
ACVR1,SMAD5
ACVR1,SMAD9
ACVR1,HJV
ACVR1,NEO1
INHBA,ACVR2A
INHBA,ACVR2B
INHBA,NODAL
INHBA,TGFB1
INHBA,TGFB2
INHBA,TGFB3
INHBB,ACVR2A
INHBB,ACVR2B
INHBB,NODAL
INHBB,ACVR1
INHBB,TGFB1
INHBB,TGFB2
INHBB,TGFB3
INHBB,BMPR1A
INHBB,BMPR1B
INHBC,ACVR2A
INHBC,ACVR2B
INHBC,NODAL
INHBC,TGFB1
INHBC,TGFB2
INHBC,TGFB3
INHBE,ACVR2A
INHBE,ACVR2B
INHBE,NODAL
INHBE,TGFB1
INHBE,TGFB2
INHBE,TGFB3
FST,INHBA
FST,INHBB
FST,INHBC
FST,INHBE
LEFTY1,NODAL
LEFTY1,TGFB1
LEFTY1,TGFB2
LEFTY1,TGFB3
LEFTY2,NODAL
LEFTY2,TGFB1
LEFTY2,TGFB2
LEFTY2,TGFB3
PPP2CA,RPS6KB1
PPP2CA,RPS6KB2
PPP2CB,RPS6KB1
PPP2CB,RPS6KB2
PPP2R1A,RPS6KB1
PPP2R1A,RPS6KB2
PPP2R1B,RPS6KB1
PPP2R1B,RPS6KB2
RHOA,ROCK1
ZFYVE9,SMAD2
ZFYVE9,SMAD3
ZFYVE16,SMAD2
ZFYVE16,SMAD3
SKP1,SMAD2
SKP1,SMAD3
MAPK1,SMAD2
MAPK1,SMAD3
MAPK1,SMAD1
MAPK1,SMAD5
MAPK1,SMAD9
MAPK3,SMAD2
MAPK3,SMAD3
MAPK3,SMAD1
MAPK3,SMAD5
MAPK3,SMAD9
SMURF1,TGFBR2
SMURF1,TGFBR1
SMURF2,TGFBR2
SMURF2,TGFBR1
TGFBR2,PPP2CA
TGFBR2,PPP2CB
TGFBR2,PPP2R1A
TGFBR2,PPP2R1B
TGFBR2,RHOA
TGFBR1,SMAD2
TGFBR1,SMAD3
TGFB1,TGFBR2
TGFB2,TGFBR2
TGFB3,TGFBR2
DCN,TGFB1
DCN,TGFB2
DCN,TGFB3
TNF,SMAD6
TNF,SMAD7
IFNG,SMAD6
IFNG,SMAD7
BMPR1A,ACVR2A
BMPR1A,BMPR2
BMPR1A,SMAD1
BMPR1A,SMAD5
BMPR1A,SMAD9
BMPR1A,HJV
BMPR1A,NEO1
BMPR1B,ACVR2A
BMPR1B,BMPR2
BMPR1B,SMAD1
BMPR1B,SMAD5
BMPR1B,SMAD9
BMPR1B,HJV
BMPR1B,NEO1
GDF7,AMHR2
GDF7,BMPR2
AMH,AMHR2
AMH,BMPR2
BMP8A,AMHR2
BMP8A,BMPR2
GDF6,AMHR2
GDF6,BMPR2
BMP2,ACVR1
BMP2,AMHR2
BMP2,BMPR2
BMP2,BMPR1A
BMP2,BMPR1B
BMP4,ACVR1
BMP4,AMHR2
BMP4,BMPR2
BMP4,BMPR1A
BMP4,BMPR1B
BMP5,AMHR2
BMP5,BMPR2
BMP6,ACVR1
BMP6,AMHR2
BMP6,BMPR2
BMP6,BMPR1A
BMP6,BMPR1B
BMP7,AMHR2
BMP7,BMPR2
BMP8B,AMHR2
BMP8B,BMPR2
GDF5,AMHR2
GDF5,BMPR2
NOG,GDF7
NOG,AMH
NOG,BMP8A
NOG,GDF6
NOG,BMP2
NOG,BMP4
NOG,BMP5
NOG,BMP6
NOG,BMP7
NOG,BMP8B
NOG,GDF5
MICOS10-NBL1,GDF7
MICOS10-NBL1,AMH
MICOS10-NBL1,BMP8A
MICOS10-NBL1,GDF6
MICOS10-NBL1,BMP2
MICOS10-NBL1,BMP4
MICOS10-NBL1,BMP5
MICOS10-NBL1,BMP6
MICOS10-NBL1,BMP7
MICOS10-NBL1,BMP8B
MICOS10-NBL1,GDF5
SMAD1,SMAD4
SMAD1,ID1
SMAD1,ID2
SMAD1,ID3
SMAD1,ID4
SMAD1,HAMP
SMAD5,SMAD4
SMAD5,ID1
SMAD5,ID2
SMAD5,ID3
SMAD5,ID4
SMAD5,HAMP
SMAD9,SMAD4
SMAD9,ID1
SMAD9,ID2
SMAD9,ID3
SMAD9,ID4
SMAD9,HAMP
CHRD,GDF7
CHRD,AMH
CHRD,BMP8A
CHRD,GDF6
CHRD,BMP2
CHRD,BMP4
CHRD,BMP5
CHRD,BMP6
CHRD,BMP7
CHRD,BMP8B
CHRD,GDF5
BAMBI,ACVR1B
BAMBI,ACVR1
BAMBI,TGFBR1
BAMBI,BMPR1A
BAMBI,BMPR1B
TGIF2,SMAD2
TGIF2,SMAD3
TGIF1,SMAD2
TGIF1,SMAD3
FMOD,TGFB1
FMOD,TGFB2
FMOD,TGFB3
NEO1,HJV
RGMB,ACVR1
RGMB,BMPR1A
RGMB,BMPR1B
RGMA,ACVR1
RGMA,BMPR1A
RGMA,BMPR1B
GREM1,GDF7
GREM1,AMH
GREM1,BMP8A
GREM1,GDF6
GREM1,BMP2
GREM1,BMP4
GREM1,BMP5
GREM1,BMP6
GREM1,BMP7
GREM1,BMP8B
GREM1,GDF5
GREM2,GDF7
GREM2,AMH
GREM2,BMP8A
GREM2,GDF6
GREM2,BMP2
GREM2,BMP4
GREM2,BMP5
GREM2,BMP6
GREM2,BMP7
GREM2,BMP8B
GREM2,GDF5
